Date,Gold_INR_per_gram,Silver_INR_per_gram,Platinum_INR_per_gram,Diamond_INR_per_carat
01-01-2016,23397.85,87.54,6765.78,8974
02-01-2016,23397.85,45.02,4544.34,6545
03-01-2016,23091.46,55.87,4344.65,5526
04-01-2016,22879.77,28.45,1879.58,3788
05-01-2016,23091.46,28.9,1902.73,3832.89
06-01-2016,23353.5,28.88,1868.66,3834
07-01-2016,23762.65,29.75,1880.08,3957.85
08-01-2016,23619.81,28.95,1887.13,3792.41
09-01-2016,23619.81,28.95,1887.13,3792.41
10-01-2016,23619.81,28.95,1887.13,3792.41
11-01-2016,23563.28,28.8,1815.87,3741.48
12-01-2016,23312.64,28.54,1798.48,3739.96
13-01-2016,23397.85,29.44,1829.23,3687.51
14-01-2016,23110.77,28.6,1794.8,3725.43
15-01-2016,23618.67,29.06,1786.71,3653.26
16-01-2016,23618.67,29.06,1786.71,3653.26
17-01-2016,23618.67,29.06,1786.71,3653.26
18-01-2016,23618.67,29.06,1786.71,3653.26
19-01-2016,23397.85,29.72,1804.04,3652.78
20-01-2016,24121.03,29.82,1782.01,3611.98
21-01-2016,24011.04,29.76,1787.23,3625.99
22-01-2016,23919.79,29.62,1808.81,3684.01
23-01-2016,23919.79,29.62,1808.81,3684.01
24-01-2016,23919.79,29.62,1808.81,3684.01
25-01-2016,24021.04,29.91,1866.83,3584.4
26-01-2016,24429.75,30.64,1906.12,3646.5
27-01-2016,24318.19,30.44,1918.26,3663.19
28-01-2016,24460.09,30.15,1898.53,3577.56
29-01-2016,24440.67,30.14,1909.67,3645.47
30-01-2016,24440.67,30.14,1909.67,3645.47
31-01-2016,24440.67,30.14,1909.67,3645.47
01-02-2016,24611.56,30.25,1895.78,3748.01
02-02-2016,24602.82,30.14,1864.69,3586.66
03-02-2016,24946.53,31.13,1920.88,3596.91
04-02-2016,25280.85,31.35,1975.12,3626.4
05-02-2016,25150.1,31.03,1959.35,3508.82
06-02-2016,25150.1,31.03,1959.35,3508.82
07-02-2016,25150.1,31.03,1959.35,3508.82
08-02-2016,26112.82,32.51,2020.75,3436.66
09-02-2016,26235.86,32.7,2052.34,3311.67
10-02-2016,26091.46,32.28,2038.27,3316.47
11-02-2016,27239.27,33.34,2100.74,3266.56
12-02-2016,27278.64,33.62,2107.48,3444.93
13-02-2016,27278.64,33.62,2107.48,3444.93
14-02-2016,27278.64,33.62,2107.48,3444.93
15-02-2016,27278.64,33.62,2107.48,3444.93
16-02-2016,26460.91,32.49,2051.99,3532.9
17-02-2016,26674.69,32.75,2089.75,3604.33
18-02-2016,26945.94,32.8,2076.16,3558.16
19-02-2016,27123.51,32.77,2082.32,3566.12
20-02-2016,27123.51,32.77,2082.32,3566.12
21-02-2016,27123.51,32.77,2082.32,3566.12
22-02-2016,26651.89,32.36,2042.25,3592.99
23-02-2016,26948.09,32.49,2078.37,3509.85
24-02-2016,27321.21,32.63,2080.8,3418.72
25-02-2016,27219.82,32.25,2035.88,3388.71
26-02-2016,26980.43,31.43,2022.76,3439.85
27-02-2016,26980.43,31.43,2022.76,3439.85
28-02-2016,26980.43,31.43,2022.76,3439.85
29-02-2016,27265.73,31.84,2063.21,3673.16
01-03-2016,26983.66,31.26,2053.11,3747.67
02-03-2016,27032.19,31.61,2038.03,3788.36
03-03-2016,27242.49,31.71,2041.35,3767.21
04-03-2016,27413.28,32.75,2128.04,3766.5
05-03-2016,27413.28,32.75,2128.04,3766.5
06-03-2016,27413.28,32.75,2128.04,3766.5
07-03-2016,27182.14,32.52,2155.08,3806.98
08-03-2016,27205.54,32.08,2131.65,3662.5
09-03-2016,27212.63,32.17,2127.25,3666.24
